category,category_ru,name,difficulty,forbidden_words
referee,судьи,Ховард Уэбб,medium,Ховард Уэбб|Ховард|Уэбб
referee,судьи,Хесус Хиль Мансано,medium,Хесус Хиль Мансано|Хесус|Хиль|Мансано
referee,судьи,Чакыр Чюнейт,medium,Чакыр Чюнейт|Чакыр|Чюнейт
referee,судьи,Энтони Тэйлор,medium,Энтони Тэйлор|Энтони|Тэйлор
referee,судьи,Равшан Ирматов,medium,Равшан Ирматов|Равшан|Ирматов
referee,судьи,Дениз Айтекин,medium,Дениз Айтекин|Дениз|Айтекин
woman,женщины,Меган Рапино,medium,Меган Рапино|Меган|Рапино
woman,женщины,Алекс Морган,medium,Алекс Морган|Алекс|Морган
woman,женщины,Алиша Леманн,medium,Алиша Леманн|Алиша|Леманн
woman,женщины,Саманта Керр,medium,Саманта Керр|Саманта|Керр
woman,женщины,Ксения Коваленко,medium,Ксения Коваленко|Ксения|Коваленко
woman,женщины,Дженнифер Эрмосо,medium,Дженнифер Эрмосо|Дженнифер|Эрмосо
woman,женщины,Айтана Бонмати,medium,Айтана Бонмати|Айтана|Бонмати
stadium,стадионы,Уэмбли,medium,Уэмбли
stadium,стадионы,Камп Ноу,medium,Камп Ноу|Камп|Ноу
stadium,стадионы,Сантьяго Бернабеу,medium,Сантьяго Бернабеу|Сантьяго|Бернабеу
stadium,стадионы,Альянц Арена,medium,Альянц Арена|Альянц|Арена
stadium,стадионы,Сигнал Идуна Парк,medium,Сигнал Идуна Парк|Сигнал|Идуна|Парк
stadium,стадионы,Стадио Олимпико,medium,Стадио Олимпико|Стадио|Олимпико
stadium,стадионы,Сан-Сиро,medium,Сан-Сиро|Сан|Сиро
stadium,стадионы,Парк де Пренс,medium,Парк де Пренс|Парк|де|Пренс
stadium,стадионы,Лужники,medium,Лужники
stadium,стадионы,Эштадиу да Луш,medium,Эштадиу да Луш|Эштадиу|да|Луш
stadium,стадионы,Эстадио Месталья,medium,Эстадио Месталья|Эстадио|Месталья
stadium,стадионы,Энфилд,medium,Энфилд
stadium,стадионы,Маракана,medium,Маракана
stadium,стадионы,Эстадио Монументаль,medium,Эстадио Монументаль|Эстадио|Монументаль
stadium,стадионы,Бомбонера,medium,Бомбонера
stadium,стадионы,Эстадио Ацтека,medium,Эстадио Ацтека|Эстадио|Ацтека
stadium,стадионы,Олд Траффорд,medium,Олд Траффорд|Олд|Траффорд
stadium,стадионы,Эмирейтс Стэдиум,medium,Эмирейтс Стэдиум|Эмирейтс|Стэдиум
stadium,стадионы,Велодром,medium,Велодром
stadium,стадионы,Метрополитано,medium,Метрополитано
stadium,стадионы,Этихад Стэдиум,medium,Этихад Стэдиум|Этихад|Стэдиум
stadium,стадионы,Сент-Джеймс Парк,medium,Сент-Джеймс Парк|Сент|Джеймс|Парк
stadium,стадионы,Стэмфорд Бридж,medium,Стэмфорд Бридж|Стэмфорд|Бридж
stadium,стадионы,Гудисон Парк,medium,Гудисон Парк|Гудисон|Парк
stadium,стадионы,Стад Луи II,medium,Стад Луи II|Стад|Луи|II
stadium,стадионы,Эстадио Драгау,medium,Эстадио Драгау|Эстадио|Драгау
stadium,стадионы,Эстадио Жозе Алваладе,medium,Эстадио Жозе Алваладе|Эстадио|Жозе|Алваладе
stadium,стадионы,Стад де Жерлан,medium,Стад де Жерлан|Стад|де|Жерлан
coach,тренеры,Алекс Фергюсон,medium,Алекс Фергюсон|Алекс|Фергюсон
coach,тренеры,Арсен Венгер,medium,Арсен Венгер|Арсен|Венгер
coach,тренеры,Оттмар Хитцфельд,medium,Оттмар Хитцфельд|Оттмар|Хитцфельд
coach,тренеры,Луи ван Гаал,medium,Луи ван Гаал|Луи|ван|Гаал
coach,тренеры,Рой Ходжсон,medium,Рой Ходжсон|Рой|Ходжсон
coach,тренеры,Марчелло Липпи,medium,Марчелло Липпи|Марчелло|Липпи
coach,тренеры,Клаудио Раньери,medium,Клаудио Раньери|Клаудио|Раньери
coach,тренеры,Дик Адвокат,medium,Дик Адвокат|Дик|Адвокат
coach,тренеры,Лучано Спаллетти,medium,Лучано Спаллетти|Лучано|Спаллетти
coach,тренеры,Гус Хиддинк,medium,Гус Хиддинк|Гус|Хиддинк
coach,тренеры,Жерар Улье,medium,Жерар Улье|Жерар|Улье
coach,тренеры,Луис Фелипе Сколари,medium,Луис Фелипе Сколари|Луис|Фелипе|Сколари
coach,тренеры,Хуанде Рамос,medium,Хуанде Рамос|Хуанде|Рамос
coach,тренеры,Мануэль Пеллегрини,medium,Мануэль Пеллегрини|Мануэль|Пеллегрини
coach,тренеры,Валерий Непомнящий,medium,Валерий Непомнящий|Валерий|Непомнящий
coach,тренеры,Курбан Бердыев,medium,Курбан Бердыев|Курбан|Бердыев
coach,тренеры,Валерий Петраков,medium,Валерий Петраков|Валерий|Петраков
coach,тренеры,Томас Шааф,medium,Томас Шааф|Томас|Шааф
coach,тренеры,Фернандо Сантуш,medium,Фернандо Сантуш|Фернандо|Сантуш
coach,тренеры,Раймонд Доменек,medium,Раймонд Доменек|Раймонд|Доменек
coach,тренеры,Йоахим Лёв,medium,Йоахим Лёв|Йоахим|Лёв
coach,тренеры,Марио Загалло,medium,Марио Загалло|Марио|Загалло
coach,тренеры,Отто Рехагель,medium,Отто Рехагель|Отто|Рехагель
coach,тренеры,Зденек Земан,medium,Зденек Земан|Зденек|Земан
coach,тренеры,Мартин Йол,medium,Мартин Йол|Мартин|Йол
coach,тренеры,Джан Пьеро Гасперини,medium,Джан Пьеро Гасперини|Джан|Пьеро|Гасперини
coach,тренеры,Рафаэль Бенитес,medium,Рафаэль Бенитес|Рафаэль|Бенитес
coach,тренеры,Ральф Рангник,medium,Ральф Рангник|Ральф|Рангник
coach,тренеры,Рашид Рахимов,medium,Рашид Рахимов|Рашид|Рахимов
coach,тренеры,Юрген Клопп,medium,Юрген Клопп|Юрген|Клопп
coach,тренеры,Жозе Моуриньо,medium,Жозе Моуриньо|Жозе|Моуриньо
coach,тренеры,Артур Жорже,medium,Артур Жорже|Артур|Жорже
coach,тренеры,Мартин О'Нил,medium,Мартин О'Нил|Мартин|О'Нил
position,позиции,Фулбек,medium,Фулбек
position,позиции,Латераль,medium,Латераль
position,позиции,Либеро,medium,Либеро
position,позиции,Хавбек,medium,Хавбек
position,позиции,Реджиста,medium,Реджиста
position,позиции,Бокс-ту-бокс,medium,Бокс-ту-бокс|Бокс|ту|бокс
position,позиции,Плеймейкер,medium,Плеймейкер
position,позиции,Треквартиста,medium,Треквартиста
position,позиции,Вингер,medium,Вингер
position,позиции,Ложная девятка,medium,Ложная девятка|Ложная|девятка
position,позиции,Таргетмен,medium,Таргетмен
position,позиции,Голкипер,medium,Голкипер
position,позиции,Защитник,medium,Защитник
position,позиции,Полузащитник,medium,Полузащитник
position,позиции,Нападающий,medium,Нападающий
term,термины,Матч,medium,Матч
term,термины,Тайм,medium,Тайм
term,термины,Перерыв,medium,Перерыв
term,термины,Гол,medium,Гол
term,термины,Офсайд,medium,Офсайд
term,термины,Фол,medium,Фол
term,термины,Пенальти,medium,Пенальти
term,термины,Штрафной удар,medium,Штрафной удар|Штрафной|удар
term,термины,Угловой удар,medium,Угловой удар|Угловой|удар
term,термины,Аут,medium,Аут
term,термины,Желтая карточка,medium,Желтая карточка|Желтая|карточка
term,термины,Красная карточка,medium,Красная карточка|Красная|карточка
term,термины,Замена,medium,Замена
term,термины,Добавленное время,medium,Добавленное время|Добавленное|время
term,термины,Овертайм,medium,Овертайм
term,термины,Серия пенальти,medium,Серия пенальти|Серия|пенальти
term,термины,Ничья,medium,Ничья
term,термины,Победа,medium,Победа
term,термины,Поражение,medium,Поражение
term,термины,Главный судья,medium,Главный судья|Главный|судья
term,термины,Боковой судья,medium,Боковой судья|Боковой|судья
term,термины,Резервный судья,medium,Резервный судья|Резервный|судья
term,термины,VAR,medium,VAR
term,термины,Пас,medium,Пас
term,термины,Удар в створ ворот,medium,Удар в створ ворот|Удар|в|створ|ворот
term,термины,Удар головой,medium,Удар головой|Удар|головой
term,термины,Дриблинг,medium,Дриблинг
term,термины,Подкат,medium,Подкат
term,термины,Перехват,medium,Перехват
term,термины,Навес,medium,Навес
term,термины,Прострел,medium,Прострел
term,термины,Сэйв,medium,Сэйв
term,термины,Финт,medium,Финт
term,термины,Забегание,medium,Забегание
term,термины,Открывание,medium,Открывание
term,термины,Стеночка,medium,Стеночка
term,термины,Прессинг,medium,Прессинг
term,термины,Контратака,medium,Контратака
term,термины,Позиционная атака,medium,Позиционная атака|Позиционная|атака
term,термины,Тики-така,medium,Тики-така|Тики|така
term,термины,Персональная опека,medium,Персональная опека|Персональная|опека
term,термины,Заброс,medium,Заброс
term,термины,Игра рукой,medium,Игра рукой|Игра|рукой
term,термины,Опасная игра,medium,Опасная игра|Опасная|игра
term,термины,Симуляция,medium,Симуляция
term,термины,Грубая игра,medium,Грубая игра|Грубая|игра
term,термины,Неспортивное поведение,medium,Неспортивное поведение|Неспортивное|поведение
term,термины,Нарушение правил,medium,Нарушение правил|Нарушение|правил
term,термины,Свободный удар,medium,Свободный удар|Свободный|удар
term,термины,Прямой удар,medium,Прямой удар|Прямой|удар
term,термины,Задержка времени,medium,Задержка времени|Задержка|времени
term,термины,Ассист,medium,Ассист
term,термины,Голевая передача,medium,Голевая передача|Голевая|передача
term,термины,Владение мячом,medium,Владение мячом|Владение|мячом
term,термины,Точность передач,medium,Точность передач|Точность|передач
term,термины,Рейтинг игрока,medium,Рейтинг игрока|Рейтинг|игрока
term,термины,xG,medium,xG
term,термины,xA,medium,xA
term,термины,Сухой матч,medium,Сухой матч|Сухой|матч
term,термины,Скамейка запасных,medium,Скамейка запасных|Скамейка|запасных
term,термины,Выставить автобус,medium,Выставить автобус|Выставить|автобус
term,термины,Засушить игру,medium,Засушить игру|Засушить|игру
term,термины,Девятка,medium,Девятка
term,термины,Парашют,medium,Парашют
term,термины,Горчичник,medium,Горчичник
term,термины,Привезти гол,medium,Привезти гол|Привезти|гол
term,термины,Катеначчо,medium,Катеначчо
term,термины,Легионер,medium,Легионер
term,термины,Трансфер,medium,Трансфер
term,термины,Дерби,medium,Дерби
term,термины,Стадион,medium,Стадион
term,термины,Трибуна,medium,Трибуна
term,термины,Эмблема,medium,Эмблема
term,термины,Гимн,medium,Гимн
term,термины,Межсезонье,medium,Межсезонье
term,термины,Золотой мяч,medium,Золотой мяч|Золотой|мяч
term,термины,Золотая бутса,medium,Золотая бутса|Золотая|бутса
term,термины,Бомбардир,medium,Бомбардир
term,термины,Тренер,medium,Тренер
term,термины,Капитан,medium,Капитан
term,термины,Ассистент тренера,medium,Ассистент тренера|Ассистент|тренера
term,термины,Фанаты,medium,Фанаты
term,термины,Лига Конференций,medium,Лига Конференций|Лига|Конференций
term,термины,Лига Чемпионов,medium,Лига Чемпионов|Лига|Чемпионов
term,термины,Лига Европы,medium,Лига Европы|Лига|Европы
term,термины,Клубный Чемпионат Мира,medium,Клубный Чемпионат Мира|Клубный|Чемпионат|Мира
term,термины,Золотой гол,medium,Золотой гол|Золотой|гол
commentator,комментаторы,Владимир Маслаченко,medium,Владимир Маслаченко|Владимир|Маслаченко
commentator,комментаторы,Виктор Гусев,medium,Виктор Гусев|Виктор|Гусев
commentator,комментаторы,Георгий Черданцев,medium,Георгий Черданцев|Георгий|Черданцев
commentator,комментаторы,Константин Генич,medium,Константин Генич|Константин|Генич
commentator,комментаторы,Нобель Арустамян,medium,Нобель Арустамян|Нобель|Арустамян
commentator,комментаторы,Николай Озеров,medium,Николай Озеров|Николай|Озеров
commentator,комментаторы,Юрий Розанов,medium,Юрий Розанов|Юрий|Розанов
commentator,комментаторы,Дмитрий Шнякин,medium,Дмитрий Шнякин|Дмитрий|Шнякин
commentator,комментаторы,Роман Нагучев,medium,Роман Нагучев|Роман|Нагучев
commentator,комментаторы,Владимир Стогниенко,medium,Владимир Стогниенко|Владимир|Стогниенко
commentator,комментаторы,Роман Трушечкин,medium,Роман Трушечкин|Роман|Трушечкин
commentator,комментаторы,Геннадий Орлов,medium,Геннадий Орлов|Геннадий|Орлов
commentator,комментаторы,Александр Елагин,medium,Александр Елагин|Александр|Елагин
commentator,комментаторы,Василий Уткин,medium,Василий Уткин|Василий|Уткин
commentator,комментаторы,Денис Казанский,medium,Денис Казанский|Денис|Казанский
commentator,комментаторы,Дмитрий Губерниев,medium,Дмитрий Губерниев|Дмитрий|Губерниев
club_nickname,прозвища клубов,Красные дьяволы,medium,Красные дьяволы|Красные|дьяволы
club_nickname,прозвища клубов,Горожане,medium,Горожане
club_nickname,прозвища клубов,Аристократы,medium,Аристократы
club_nickname,прозвища клубов,Канониры,medium,Канониры
club_nickname,прозвища клубов,Шпоры,medium,Шпоры
club_nickname,прозвища клубов,Сине-гранатовые,medium,Сине-гранатовые|Сине|гранатовые
club_nickname,прозвища клубов,Сливочные,medium,Сливочные
club_nickname,прозвища клубов,Матрасники,medium,Матрасники
club_nickname,прозвища клубов,Старая синьора,medium,Старая синьора|Старая|синьора
club_nickname,прозвища клубов,Россонери,medium,Россонери
club_nickname,прозвища клубов,Нерадзурри,medium,Нерадзурри
club_nickname,прозвища клубов,Пентакампеоны,medium,Пентакампеоны
club_nickname,прозвища клубов,Скуадра Адзурра,medium,Скуадра Адзурра|Скуадра|Адзурра
club_nickname,прозвища клубов,Бундестим,medium,Бундестим
club_nickname,прозвища клубов,Фурия Роха,medium,Фурия Роха|Фурия|Роха
club_nickname,прозвища клубов,Ириски,medium,Ириски
club_nickname,прозвища клубов,Молотобойцы,medium,Молотобойцы
club_nickname,прозвища клубов,Канарейки,medium,Канарейки
club_nickname,прозвища клубов,Сине-бело-голубые,medium,Сине-бело-голубые|Сине|бело|голубые
club_nickname,прозвища клубов,Народная команда,medium,Народная команда|Народная|команда
club_nickname,прозвища клубов,Армейцы,medium,Армейцы
club_nickname,прозвища клубов,Железнодорожники,medium,Железнодорожники
club_nickname,прозвища клубов,Бело-голубые,medium,Бело-голубые|Бело|голубые
club,клубы,Реал Мадрид,medium,Реал Мадрид|Реал|Мадрид
club,клубы,Бавария,medium,Бавария
club,клубы,Интер (Милан),medium,Интер (Милан)|Интер|(Милан)
club,клубы,Ливерпуль,medium,Ливерпуль
club,клубы,Манчестер Сити,medium,Манчестер Сити|Манчестер|Сити
club,клубы,Пари Сен-Жермен,medium,Пари Сен-Жермен|Пари|Сен|Жермен
club,клубы,Арсенал (Лондон),medium,Арсенал (Лондон)|Арсенал|(Лондон)
club,клубы,Барселона,medium,Барселона
club,клубы,Боруссия (Дортмунд),medium,Боруссия (Дортмунд)|Боруссия|(Дортмунд)
club,клубы,Байер 04,medium,Байер 04|Байер|04
club,клубы,Атлетико,medium,Атлетико
club,клубы,Рома,medium,Рома
club,клубы,Челси,medium,Челси
club,клубы,Бенфика,medium,Бенфика
club,клубы,Айнтрахт,medium,Айнтрахт
club,клубы,Аталанта,medium,Аталанта
club,клубы,Манчестер Юнайтед,medium,Манчестер Юнайтед|Манчестер|Юнайтед
club,клубы,Тоттенхэм Хотспур,medium,Тоттенхэм Хотспур|Тоттенхэм|Хотспур
club,клубы,Спортинг Лиссабон,medium,Спортинг Лиссабон|Спортинг|Лиссабон
club,клубы,Брюгге,medium,Брюгге
club,клубы,ПСВ Эйндховен,medium,ПСВ Эйндховен|ПСВ|Эйндховен
club,клубы,Фейеноорд,medium,Фейеноорд
club,клубы,Фиорентина,medium,Фиорентина
club,клубы,Ювентус,medium,Ювентус
club,клубы,Вест Хэм Юнайтед,medium,Вест Хэм Юнайтед|Вест|Хэм|Юнайтед
club,клубы,Порту,medium,Порту
club,клубы,Милан,medium,Милан
club,клубы,Астон Вилла,medium,Астон Вилла|Астон|Вилла
club,клубы,Лилль,medium,Лилль
club,клубы,Бетис,medium,Бетис
club,клубы,Наполи,medium,Наполи
club,клубы,Лион,medium,Лион
club,клубы,Ред Булл Лейпциг,medium,Ред Булл Лейпциг|Ред|Булл|Лейпциг
club,клубы,Глазго Рейнджерс,medium,Глазго Рейнджерс|Глазго|Рейнджерс
club,клубы,Лацио,medium,Лацио
club,клубы,Вильярреал,medium,Вильярреал
club,клубы,Олимпиакос,medium,Олимпиакос
club,клубы,Аякс,medium,Аякс
club,клубы,Будё-Глимт,medium,Будё-Глимт|Будё|Глимт
club,клубы,Реал Сосьедад,medium,Реал Сосьедад|Реал|Сосьедад
club,клубы,АЗ Алкмар,medium,АЗ Алкмар|АЗ|Алкмар
club,клубы,Фенербахче,medium,Фенербахче
club,клубы,Копенгаген,medium,Копенгаген
club,клубы,Марсель,medium,Марсель
club,клубы,Монако,medium,Монако
club,клубы,Брага,medium,Брага
club,клубы,Галатасарай,medium,Галатасарай
club,клубы,Ференцварош,medium,Ференцварош
club,клубы,ПАОК,medium,ПАОК
club,клубы,Динамо (Загреб),medium,Динамо (Загреб)|Динамо|(Загреб)
club,клубы,Виктория (Пльзень),medium,Виктория (Пльзень)|Виктория|(Пльзень)
club,клубы,Ред Булл Зальцбург,medium,Ред Булл Зальцбург|Ред|Булл|Зальцбург
club,клубы,Црвена Звезда,medium,Црвена Звезда|Црвена|Звезда
club,клубы,Фрайбург,medium,Фрайбург
club,клубы,Славия (Прага),medium,Славия (Прага)|Славия|(Прага)
club,клубы,Карабах,medium,Карабах
club,клубы,Мидтьюлланд,medium,Мидтьюлланд
club,клубы,Селтик,medium,Селтик
club,клубы,Гент,medium,Гент
club,клубы,Севилья,medium,Севилья
club,клубы,Атлетик (Бильбао),medium,Атлетик (Бильбао)|Атлетик|(Бильбао)
club,клубы,Спарта (Прага),medium,Спарта (Прага)|Спарта|(Прага)
club,клубы,Ренн,medium,Ренн
club,клубы,Базель,medium,Базель
club,клубы,Слован,medium,Слован
club,клубы,Маккаби Тель-Авив,medium,Маккаби Тель-Авив|Маккаби|Тель|Авив
club,клубы,Юргорден,medium,Юргорден
club,клубы,Легия,medium,Легия
club,клубы,Андерлехт,medium,Андерлехт
club,клубы,Рапид,medium,Рапид
club,клубы,Янг Бойз,medium,Янг Бойз|Янг|Бойз
club,клубы,Лудогорец,medium,Лудогорец
club,клубы,Ньюкасл Юнайтед,medium,Ньюкасл Юнайтед|Ньюкасл|Юнайтед
club,клубы,Штурм,medium,Штурм
club,клубы,Панатинаикос,medium,Панатинаикос
club,клубы,Унион Берлин,medium,Унион Берлин|Унион|Берлин
club,клубы,Пафос,medium,Пафос
club,клубы,Ягеллония,medium,Ягеллония
club,клубы,Партизан,medium,Партизан
club,клубы,Мольде,medium,Мольде
club,клубы,Омония (Никосия),medium,Омония (Никосия)|Омония|(Никосия)
club,клубы,Генк,medium,Генк
club,клубы,Штутгарт,medium,Штутгарт
club,клубы,ЛАСК,medium,ЛАСК
club,клубы,Лех,medium,Лех
club,клубы,Болонья,medium,Болонья
club,клубы,Шериф,medium,Шериф
club,клубы,Ницца,medium,Ницца
club,клубы,Башакшехир,medium,Башакшехир
club,клубы,АЕК Афины,medium,АЕК Афины|АЕК|Афины
club,клубы,Олимпия Любляна,medium,Олимпия Любляна|Олимпия|Любляна
club,клубы,Маккаби Хайфа,medium,Маккаби Хайфа|Маккаби|Хайфа
club,клубы,ЧФР Клуж,medium,ЧФР Клуж|ЧФР|Клуж
club,клубы,Риека,medium,Риека
club,клубы,Страсбур,medium,Страсбур
club,клубы,Бешикташ,medium,Бешикташ
club,клубы,Мальмё,medium,Мальмё
club,клубы,АПОЭЛЬ (Никосия),medium,АПОЭЛЬ (Никосия)|АПОЭЛЬ|(Никосия)
club,клубы,Брайтон энд Хоув Альбион,medium,Брайтон энд Хоув Альбион|Брайтон|энд|Хоув|Альбион
club,клубы,Твенте,medium,Твенте
club,клубы,Лестер Сити,medium,Лестер Сити|Лестер|Сити
club,клубы,Серкль Брюгге,medium,Серкль Брюгге|Серкль|Брюгге
club,клубы,Райо Вальекано,medium,Райо Вальекано|Райо|Вальекано
club,клубы,Ланс,medium,Ланс
club,клубы,Антверпен,medium,Антверпен
club,клубы,Сивасспор,medium,Сивасспор
club,клубы,Астана,medium,Астана
club,клубы,Серветт,medium,Серветт
club,клубы,Майнц 05,medium,Майнц 05|Майнц|05
club,клубы,Спартак (Москва),medium,Спартак (Москва)|Спартак|(Москва)
club,клубы,Жальгирис,medium,Жальгирис
club,клубы,Хартс,medium,Хартс
club,клубы,Кайрат (Алматы),medium,Кайрат (Алматы)|Кайрат|(Алматы)
club,клубы,Трабзонспор,medium,Трабзонспор
club,клубы,Ноа (Ереван),medium,Ноа (Ереван)|Ноа|(Ереван)
club,клубы,Марибор,medium,Марибор
club,клубы,Пюник,medium,Пюник
club,клубы,Хайдук,medium,Хайдук
club,клубы,Абердин,medium,Абердин
club,клубы,Аустрия,medium,Аустрия
club,клубы,Брондбю,medium,Брондбю
club,клубы,Витесс,medium,Витесс
club,клубы,Кристал Пэлас,medium,Кристал Пэлас|Кристал|Пэлас
club,клубы,Самсунспор,medium,Самсунспор
club,клубы,Сельта,medium,Сельта
club,клубы,Хайденхайм,medium,Хайденхайм
club,клубы,Ноттингем Форест,medium,Ноттингем Форест|Ноттингем|Форест
club,клубы,Жирона,medium,Жирона
club,клубы,Нант,medium,Нант
club,клубы,Вольфсбург,medium,Вольфсбург
club,клубы,Дюделанж,medium,Дюделанж
club,клубы,Нордшелланд,medium,Нордшелланд
club,клубы,Левски,medium,Левски
club,клубы,Хиберниан,medium,Хиберниан
club,клубы,Хоффенхайм,medium,Хоффенхайм
club,клубы,Арарат (Ереван),medium,Арарат (Ереван)|Арарат|(Ереван)
club,клубы,Аполлон (Лимасол),medium,Аполлон (Лимасол)|Аполлон|(Лимасол)
club,клубы,Нефтчи,medium,Нефтчи
club,клубы,Арис (Лимасол),medium,Арис (Лимасол)|Арис|(Лимасол)
club,клубы,Динамо (Минск),medium,Динамо (Минск)|Динамо|(Минск)
club,клубы,Динамо (Батуми),medium,Динамо (Батуми)|Динамо|(Батуми)
club,клубы,Сабах,medium,Сабах
club,клубы,Кёльн,medium,Кёльн
club,клубы,БАТЭ,medium,БАТЭ
club,клубы,Гоу Эхед Иглс,medium,Гоу Эхед Иглс|Гоу|Эхед|Иглс
club,клубы,Жилина,medium,Жилина
club,клубы,Торпедо-БелАЗ,medium,Торпедо-БелАЗ|Торпедо|БелАЗ
club,клубы,Яблонец,medium,Яблонец
club,клубы,ЦСКА (София),medium,ЦСКА (София)|ЦСКА|(София)
club,клубы,Динамо (Тбилиси),medium,Динамо (Тбилиси)|Динамо|(Тбилиси)
club,клубы,Цюрих,medium,Цюрих
club,клубы,Урарту,medium,Урарту
club,клубы,Русенборг,medium,Русенборг
club,клубы,Зимбру,medium,Зимбру
club,клубы,Актобе,medium,Актобе
club,клубы,Торпедо (Кутаиси),medium,Торпедо (Кутаиси)|Торпедо|(Кутаиси)
club,клубы,Люцерн,medium,Люцерн
club,клубы,Млада (Болеслав),medium,Млада (Болеслав)|Млада|(Болеслав)
club,клубы,Данди Юнайтед,medium,Данди Юнайтед|Данди|Юнайтед
club,клубы,Приштина,medium,Приштина
club,клубы,Орхус,medium,Орхус
club,клубы,Локомотив (Москва),medium,Локомотив (Москва)|Локомотив|(Москва)
club,клубы,Утрехт,medium,Утрехт
club,клубы,Адана Демирспор,medium,Адана Демирспор|Адана|Демирспор
club,клубы,Висла (Краков),medium,Висла (Краков)|Висла|(Краков)
club,клубы,Жил Висенте,medium,Жил Висенте|Жил|Висенте
club,клубы,Пасуш де Феррейра,medium,Пасуш де Феррейра|Пасуш|де|Феррейра
club,клубы,Килмарнок,medium,Килмарнок
club,клубы,Осасуна,medium,Осасуна
club,клубы,Динамо (Брест),medium,Динамо (Брест)|Динамо|(Брест)
club,клубы,Локомотив (Пловдив),medium,Локомотив (Пловдив)|Локомотив|(Пловдив)
club,клубы,Коньяспор,medium,Коньяспор
club,клубы,Сочи,medium,Сочи
club,клубы,Дебрецен,medium,Дебрецен
club,клубы,Волеренга,medium,Волеренга
club,клубы,Мазеруэлл,medium,Мазеруэлл
club,клубы,Вардар,medium,Вардар
club,клубы,Шарлеруа,medium,Шарлеруа
club,клубы,Работнички,medium,Работнички
club,клубы,Эвертон,medium,Эвертон
club,клубы,Герта,medium,Герта
club,клубы,Паниониос,medium,Паниониос
club,клубы,Динамо (Бухарест),medium,Динамо (Бухарест)|Динамо|(Бухарест)
club,клубы,Сьон,medium,Сьон
club,клубы,Маритиму,medium,Маритиму
club,клубы,Остенде,medium,Остенде
club,клубы,Зюлте-Варегем,medium,Зюлте-Варегем|Зюлте|Варегем
club,клубы,Гурник (Забже),medium,Гурник (Забже)|Гурник|(Забже)
club,клубы,Хапоэль (Хайфа),medium,Хапоэль (Хайфа)|Хапоэль|(Хайфа)
club,клубы,Бернли,medium,Бернли
club,клубы,Сарпсборг 08,medium,Сарпсборг 08|Сарпсборг|08
club,клубы,Спартак (Суботица),medium,Спартак (Суботица)|Спартак|(Суботица)
club,клубы,Динамо (Москва),medium,Динамо (Москва)|Динамо|(Москва)
club,клубы,Виллем II,medium,Виллем II|Виллем|II
club,клубы,Торино,medium,Торино
club,клубы,Сент-Этьен,medium,Сент-Этьен|Сент|Этьен
club,клубы,Славия (София),medium,Славия (София)|Славия|(София)
club,клубы,Эспаньол,medium,Эспаньол
club,клубы,Гётеборг,medium,Гётеборг
club,клубы,Тун,medium,Тун
